country,fifo_visas,mohho_visas,delta
Afghanistan,1300,100,-1200
India,25620,25620,0
China,25620,25620,0
Philippines,25620,25620,0
Mexico,21440,21440,0
Iraq,1100,1100,0
Pakistan,1000,1000,0
Iran,1000,1000,0
Taiwan,1500,1500,0
Brazil,1000,1000,0
Canada,2000,2000,0
United Kingdom,2000,2000,0
Nigeria,800,800,0
Japan,1500,1500,0
Bangladesh,500,500,0
Colombia,800,800,0
Germany,1500,1500,0
Vietnam,500,500,0
Ethiopia,300,300,0
Rest of World,20000,20000,0
South Korea,2960,5420,2460
__policy__,f1=8.7884,f2=13.0000,f3=680
