iteration,hv_mean,hv_std
0,1599680.030016,41729.289939
1,1621359.180689,35432.258125
2,1642649.948197,35762.742502
3,1648612.693514,33484.219030
4,1656502.646943,38589.308017
5,1662256.056103,38696.375854
6,1668798.269422,39630.275459
7,1672914.110572,39206.690940
8,1675895.101571,39548.606307
9,1679843.666599,39593.614386
10,1682583.920154,40024.177619
11,1686725.850299,42531.125811
12,1688100.725548,42929.208243
13,1690554.557201,44979.246760
14,1696192.974948,45642.748161
15,1697211.178106,45108.674393
16,1698892.777229,45592.230319
17,1702481.205711,45149.731127
18,1703108.976950,45118.747095
19,1704037.198125,44963.156072
20,1705139.138115,45938.946784
21,1705826.546070,45796.385872
22,1708519.840694,45675.041015
23,1710902.722317,44774.311159
24,1713185.350154,44401.507057
25,1713994.971937,43832.696970
26,1714678.168166,43678.913623
27,1717460.934786,42623.090863
28,1717934.055364,42456.073878
29,1718847.863038,42885.368284
30,1719452.189183,42736.651813
31,1719849.917278,42868.245166
32,1722343.868982,42973.575744
33,1722456.484733,42997.933628
34,1722698.574431,43035.585226
35,1722811.384606,43031.713481
36,1722939.547731,43100.685466
37,1723281.398781,43069.148253
38,1724360.007890,42465.355775
39,1725085.213452,43018.668298
40,1726568.438326,43437.125796
41,1726789.942254,43439.655970
42,1727092.305900,43364.710946
43,1729138.962663,43319.518430
44,1730463.989975,43226.243097
45,1730670.901724,43339.975986
46,1731543.432559,43619.345089
47,1731588.617193,43622.893460
48,1731636.428615,43640.360541
49,1731782.233350,43687.221329
50,1732243.188434,44057.513201
51,1732290.073747,44017.496576
52,1732451.739742,44071.486457
53,1732544.889515,44062.044800
54,1732601.701769,44060.874710
55,1732942.225552,44128.913578
56,1732985.592223,44159.523612
57,1733143.761940,44182.998886
58,1733259.456140,44168.473971
59,1733770.550612,44464.004055
60,1734195.326273,44400.208789
61,1734535.325020,44559.694356
62,1734783.044469,44420.114718
63,1735460.524660,43818.056480
64,1735706.060726,43976.675655
65,1735949.223253,44170.560754
66,1736057.625854,44172.828837
67,1738526.903064,43373.843093
68,1738910.967117,43419.484929
69,1738945.692197,43424.301144
70,1739038.180488,43450.095196
71,1739634.012935,43797.889209
72,1739936.920245,43595.607454
73,1740495.321950,43862.983041
74,1741012.831718,43981.887875
75,1741421.372308,43584.459963
76,1741668.731685,43755.354188
77,1741753.928262,43765.446118
78,1741761.167827,43782.094042
79,1748448.274985,41243.691866
80,1748596.339163,41320.519423
81,1748693.891064,41350.384713
82,1748847.283001,41268.185381
83,1749026.281254,41354.591827
84,1749114.453985,41304.877573
85,1749482.892367,41535.428863
86,1749492.091871,41531.678905
87,1749734.732357,41708.263861
88,1749861.723930,41797.548162
89,1750039.769707,41907.894072
90,1750156.604933,41938.025589
91,1750241.687926,41922.664920
92,1750332.473042,41891.643309
93,1750350.912119,41909.241146
94,1750542.926094,41712.351657
95,1750639.264064,41659.485196
96,1750718.149001,41705.142225
97,1753515.009154,38914.396207
98,1753635.007268,39031.388127
99,1753702.193174,38910.607595
100,1753937.390040,38646.093919
101,1754072.723686,38725.847136
102,1754098.577840,38750.777869
103,1754654.610844,37919.154372
104,1755042.469704,37949.445838
105,1755098.472128,37909.174729
106,1755152.015371,37869.644719
107,1755536.994247,37636.812344
108,1757623.191504,36804.395840
109,1757679.606885,36837.662305
110,1757696.183548,36842.602418
111,1757886.976293,36706.540828
112,1757909.709301,36678.376740
113,1757986.508126,36711.262875
114,1758101.558222,36571.011870
115,1758186.375708,36522.191363
116,1758185.805687,36553.332660
117,1758340.415883,36637.762341
118,1758395.624682,36679.128230
119,1758443.878760,36697.617152
120,1758470.979415,36712.744199
121,1758689.468097,36867.495407
122,1758757.585740,36850.334650
123,1758876.288675,36839.656740
124,1761238.009863,34169.170892
125,1761258.617804,34168.835421
126,1761411.869610,34248.791504
127,1761883.341596,34164.213404
128,1761899.574474,34175.014376
129,1763678.922573,33026.608298
130,1763948.756567,32877.109494
131,1763999.268831,32872.701762
132,1764024.700736,32877.406793
133,1764175.437227,32661.988197
134,1764313.782103,32698.140173
135,1764461.379596,32734.754798
136,1764805.855093,32697.535302
137,1764982.721494,32601.034526
138,1766075.919280,32704.200904
139,1766331.499741,32864.448322
140,1766340.695464,32873.251398
141,1766366.603291,32888.507424
142,1766663.075011,32823.560140
143,1766666.019284,32833.229584
144,1766723.701335,32850.098039
145,1766785.790908,32851.352240
146,1766958.756798,32888.440081
147,1767121.924651,33035.369455
148,1767131.058402,33078.203568
149,1767465.567757,32965.095327
150,1767556.761172,32943.204095
151,1767580.826150,32978.403046
152,1767625.919968,32995.040833
153,1767649.241389,33009.811512
154,1767957.480325,33207.555601
