f1,f2,f3,type
7.185700,10.743560,16280,pareto
7.185942,12.000000,16250,pareto
7.186161,12.000000,15880,pareto
7.186426,10.743560,16190,pareto
7.186507,12.000000,15580,pareto
7.186622,12.000000,15480,pareto
7.186737,12.000000,15380,pareto
7.186852,12.000000,15280,pareto
7.186967,12.000000,15180,pareto
7.187083,12.000000,15080,pareto
7.187198,12.000000,14980,pareto
7.187417,12.000000,14790,pareto
7.187428,12.000000,14780,pareto
7.187543,12.000000,14680,pareto
7.187589,10.743560,14760,pareto
7.187774,12.000000,14480,pareto
7.187889,12.000000,14380,pareto
7.188004,12.000000,14280,pareto
7.188165,10.743560,14260,pareto
7.188235,10.743560,14080,pareto
7.188350,11.759111,13980,pareto
7.188465,10.743560,13880,pareto
7.188580,12.000000,13780,pareto
7.188695,12.000000,13680,pareto
7.188810,12.000000,13580,pareto
7.188926,11.250000,13480,pareto
7.189156,10.743560,13280,pareto
7.189433,12.000000,13160,pareto
7.189502,12.000000,12980,pareto
7.189732,12.000000,12780,pareto
7.189847,12.000000,12680,pareto
7.189962,10.743560,12580,pareto
7.190078,12.000000,12480,pareto
7.190193,12.000000,12380,pareto
7.190239,11.636364,12460,pareto
7.190538,12.000000,12080,pareto
7.190654,12.000000,11980,pareto
7.190999,12.000000,11680,pareto
7.191230,12.000000,11480,pareto
7.191345,12.000000,11380,pareto
7.191460,12.000000,11280,pareto
7.191575,12.000000,11180,pareto
7.191690,12.000000,11080,pareto
7.191776,11.333333,11193,pareto
7.191958,10.355582,16280,pareto
7.192151,12.000000,10680,pareto
7.192266,11.285714,10580,pareto
7.192497,12.000000,10380,pareto
7.192612,11.636364,10280,pareto
7.192957,12.000000,9980,pareto
7.193073,12.000000,9880,pareto
7.193234,12.000000,9860,pareto
7.193303,12.000000,9680,pareto
7.193418,12.000000,9580,pareto
7.193619,11.461538,9593,pareto
7.193964,12.000000,9293,pareto
7.193969,12.000000,9289,pareto
7.194109,10.778689,10780,pareto
7.194126,12.000000,9273,pareto
7.194146,10.523810,14380,pareto
7.194225,12.000000,8880,pareto
7.194386,10.319360,15680,pareto
7.194916,12.000000,8280,pareto
7.195031,12.000000,8180,pareto
7.195377,12.000000,7880,pareto
7.195492,12.000000,7780,pareto
7.195584,11.496926,8540,pareto
7.195768,12.000000,7660,pareto
7.195837,12.000000,7480,pareto
7.195953,12.000000,7380,pareto
7.196068,11.568718,7880,pareto
7.196183,12.000000,7180,pareto
7.196268,11.461538,7293,pareto
7.196298,12.000000,7080,pareto
7.196529,12.000000,6880,pareto
7.197024,12.000000,6450,pareto
7.197051,11.660512,7153,pareto
7.197335,12.000000,6180,pareto
7.197692,10.454020,11489,pareto
7.197858,11.636364,6453,pareto
